IZ5ILD;JN53;725;220
RU6BL;KN96;1670;94
UR5ZGY;KN57;1052;94
UT4UQ;KO50;1039;75
I1YTO;JN44;759;235
UT4UQ;KO50;1039;75
RA4HRZ;LO43;2299;71
US5TA;KN39;741;80
EA7DJN;IM88;1956;237
RU6BL;KN96;1670;94
M1HAX;IO81;1471;286
UT5ED;KN78;1330;87
ON8ZA;JO20;898;286
SV5DKL;KM46;1656;143
UT7ZA;KN57;1052;94
IZ0MYH;JN63;637;209
UT5ED;KN78;1330;87
ON8ZA;JO20;898;286
SM3LBN;JP80;1334;0
UT7ZA;KN57;1052;94
SV1GN;KM17;1317;158
ON3AZ;JO10;1039;285
M1HAX;IO81;1471;286
IZ5ILD;JN53;725;220
DJ3CS;JO50;489;298
SV5DKL;KM46;1656;143
SV1GN;KM17;1317;158
UT5ED;KN78;1330;87
DJ3CS;JO50;489;298
M1HAX;IO81;1471;286
G0EYO;IO92;1351;292
SV5DKL;KM46;1656;143
SV1OCN;KM17;1317;158
EA2BFM;IN83;1643;253
RC8SB;LO91;2996;77
I2XCH;JN45;695;242
YO4NF;KN44;1023;114
YO4HQF;KN44;1023;114
IK4JOD;JN63;637;209
EA2BFM;IN83;1643;253
SV5DKL;KM46;1656;143
M1HAX;IO81;1471;286
UT4UQ;KO50;1039;75
ON7USB;JO10;1039;285
M1HAX;IO81;1471;286
G0EYO;IO92;1351;292
EA2BFM;IN83;1643;253
M1HAX;IO81;1471;286
IQ1UA;JN44;759;235
EA2BFM;IN83;1643;253
SV1GN;KM17;1317;158
I2XCH;JN45;695;242
UR5ZGY;KN57;1052;94
OZ7JZ;JO46;1042;329
DK6WS;JO30;759;289
G0EYO;IO92;1351;292
YO4HQF;KN44;1023;114
IK4JOD;JN63;637;209
SV5DKL;KM46;1656;143
SV1GN;KM17;1317;158
I2XCH;JN45;695;242
UR5ZGY;KN57;1052;94
YO4NF;KN44;1023;114
EA2BFM;IN83;1643;253
YO4NF;KN44;1023;114
IK1XPK;JN44;759;235
EA2BFM;IN83;1643;253
ON7USB;JO10;1039;285
UT4UQ;KO50;1039;75
F5NOX;IN96;1374;264
YO4NF;KN44;1023;114
IK1XPK;JN44;759;235
IW2BAI;JN45;695;242
EA2BFM;IN83;1643;253
I2XCH;JN45;695;242
DK8CX;JO61;440;320
IW1DQS;JN35;831;248
DB1HEF;JN57;462;257
DF7FR;JN49;597;282
F4FYO;JN28;888;272
OE4NKB;JN88;0;0
S55OO;JN76;269;214
DG1EHJ;JO31;792;296
PD0LEO;JO22;961;299
DG0EK;JO60;366;308
G4SHD;IO82;1485;290
IZ0MYH;JN63;637;209
DK8CX;JO61;440;320
F5PBM;JN18;1036;272
IK5SRE;JN53;725;220
DB1HEF;JN57;462;257
OK1VM;JO70;266;327
F4FYO;JN28;888;272
S55OO;JN76;269;214
DG1EHJ;JO31;792;296
PD0LEO;JO22;961;299
DG0EK;JO60;366;308
EA5UI;IM98;1826;234
G4SHD;IO82;1485;290
IK5SRE;JN53;725;220
DB1HEF;JN57;462;257
OK1VM;JO70;266;327
PE1LUP;JO21;923;293
PF0IS;JO21;923;293
PD0LEO;JO22;961;299
DG0EK;JO60;366;308
IQ6KX;JN63;637;209
DG1EHJ;JO31;792;296
DF2KD;JO30;759;289
DB1HEF;JN57;462;257
DF7FR;JN49;597;282
OK1VM;JO70;266;327
OE4NKB;JN88;0;0
PE1LUP;JO21;923;293
PD0LEO;JO22;961;299
DG1EHJ;JO31;792;296
TK5NJ;JN41;1001;219
DK5FU;JO40;622;292
SP2DDX;JO83;556;0
F5PBM;JN18;1036;272
DK8CX;JO61;440;320
DM8MH;JO51;545;308
IK5SRE;JN53;725;220
DF2KD;JO30;759;289
IU1BSV;JN46;643;251
DB1HEF;JN57;462;257
DF7FR;JN49;597;282
OK1VM;JO70;266;327
SP9UPH;JO90;266;33
PE1LUP;JO21;923;293
PA8MC;JO20;898;286
IQ6KX;JN63;637;209
TK5NJ;JN41;1001;219
G4SHD;IO82;1485;290
DK5FU;JO40;622;292
SP2DDX;JO83;556;0
DM8MH;JO51;545;308
IU1BSV;JN46;643;251
IK5SRE;JN53;725;220
DF2KD;JO30;759;289
R3TJR;LO26;2085;61
EA4ZM;IM68;2226;243
LA5TFA;JP99;2338;2
EA4ZM;IM68;2226;243
R3TJR;LO26;2085;61
A41CK;LL93;4613;125
EA4ZM;IM68;2226;243
R3TJR;LO26;2085;61
EA1ABT;IN73;1789;255
RA4PIS;LO64;2563;70
R3TJR;LO26;2085;61
VK5GR;PF95;15086;159
A41ZZ;LL93;4613;125
UA9FGJ;LO88;2833;61
RA4PIS;LO64;2563;70
A41ZZ;LL93;4613;125
SV5DKL;KM46;1656;143
4K6MAR;LN40;2677;105
